,,


As of:,"Feb 16, 2018"

,,
Effective date ,S&P 500 VIX Short-Term Index MCAP
12/20/2011,14644.78
12/21/2011,13514.01
12/22/2011,13829.35
12/23/2011,14145.63
12/27/2011,14013.53
12/28/2011,14652.05
12/29/2011,14274.43
12/30/2011,14654.77
1/3/2012,13742.6
1/4/2012,13441.9
1/5/2012,13212.19
1/6/2012,12897.2
1/9/2012,12771.96
1/10/2012,12503.28
1/11/2012,12783.69
1/12/2012,12537.09
1/13/2012,12723.28
1/17/2012,12645.37
1/18/2012,12249.38
1/19/2012,11910.12
1/20/2012,11553.89
1/23/2012,11278.86
1/24/2012,11211.42
1/25/2012,10882.26
1/26/2012,10871.99
1/27/2012,10676.31
1/30/2012,10915.63
1/31/2012,11017.03
2/1/2012,10575.36
2/2/2012,10223.86
2/3/2012,9744.4
2/6/2012,9657.61
2/7/2012,9771.14
2/8/2012,10090.32
2/9/2012,10540.1
2/10/2012,11329.75
2/13/2012,10488.7
2/14/2012,10753.75
2/15/2012,11615.99
2/16/2012,10933.02
2/17/2012,10851.68
2/21/2012,10851.8
2/22/2012,10509.51
2/23/2012,9815.68
2/24/2012,10259.22
2/27/2012,10408.2
2/28/2012,10115.91
2/29/2012,10150.35
3/1/2012,9764.52
3/2/2012,9933.61
3/5/2012,9866.13
3/6/2012,10748.15
3/7/2012,10054.15
3/8/2012,9702.8
3/9/2012,9460.98
3/12/2012,8986.27
3/13/2012,8661.49
3/14/2012,9107.11
3/15/2012,8929.68
3/16/2012,8826.85
3/19/2012,8193.82
3/20/2012,7838.9
3/21/2012,7428.51
3/22/2012,7533.43
3/23/2012,6987.24
3/26/2012,6396.97
3/27/2012,7125.81
3/28/2012,7155.85
3/29/2012,6990.17
3/30/2012,6837.94
4/2/2012,6858.29
4/3/2012,6990.56
4/4/2012,7237.48
4/5/2012,7438.14
4/9/2012,7836.38
4/10/2012,8341.43
4/11/2012,8200.63
4/12/2012,7313.01
4/13/2012,7946.52
4/16/2012,7827.03
4/17/2012,7307.05
4/18/2012,7526.83
4/19/2012,7474.9
4/20/2012,7226.41
4/23/2012,7537.63
4/24/2012,7239.59
4/25/2012,6828.73
4/26/2012,6638.71
4/27/2012,6631.66
4/30/2012,6765.11
5/1/2012,6607.99
5/2/2012,6599.32
5/3/2012,6830.03
5/4/2012,7181.01
5/7/2012,6969.33
5/8/2012,7025.72
5/9/2012,7323.62
5/10/2012,6974.08
5/11/2012,7227.7
5/14/2012,7714.66
5/15/2012,8000.44
5/16/2012,8167.83
5/17/2012,8761.66
5/18/2012,9414.15
5/21/2012,8164.15
5/22/2012,8394.5
5/23/2012,8344.7
5/24/2012,8179.06
5/25/2012,8258.91
5/29/2012,7775.76
5/30/2012,8588.66
5/31/2012,8707.51
6/1/2012,9287.49
6/4/2012,9042.71
6/5/2012,8647.12
6/6/2012,7998.84
6/7/2012,7915.92
6/8/2012,7459.14
6/11/2012,8306.35
6/12/2012,8014.15
6/13/2012,8417.07
6/14/2012,7873.45
6/15/2012,7413.7
6/18/2012,6812.29
6/19/2012,6835.22
6/20/2012,6382.67
6/21/2012,7268.72
6/22/2012,6825.89
6/25/2012,6998.5
6/26/2012,6793.6
6/27/2012,6778.36
6/28/2012,6672.07
6/29/2012,6178.01
7/2/2012,5770.04
7/3/2012,5635.76
7/5/2012,5899.4
7/6/2012,5779.97
7/9/2012,5777.71
7/10/2012,5995.4
7/11/2012,5762.8
7/12/2012,5809.08
7/13/2012,5459.88
7/16/2012,5442.67
7/17/2012,5231.51
7/18/2012,5259.73
7/19/2012,5133.36
7/20/2012,5395.69
7/23/2012,5845.42
7/24/2012,6130.48
7/25/2012,5922.64
7/26/2012,5410.12
7/27/2012,5281.77
7/30/2012,5502.34
7/31/2012,5611.69
8/1/2012,5546.33
8/2/2012,5316.63
8/3/2012,4936.97
8/6/2012,4835.82
8/7/2012,5035.11
8/8/2012,4816.44
8/9/2012,4750.09
8/10/2012,4715.23
8/13/2012,4617.99
8/14/2012,4804.68
8/15/2012,4794.3
8/16/2012,4727.64
